name, type
Crossix US > Healthcare > Prescription Type > Asthma - Packaged,R2
Crossix US > Healthcare > Prescription Type > Atrial Fibrillation,R2
Crossix US > Healthcare > Prescription Type > COPD,R2
Crossix US > Healthcare > Prescription Type > High Cholesterol,R2
Crossix US > Healthcare > Prescription Type > Type 1 Diabetes,R2
Crossix US > Healthcare > Prescription Type > Type 2 Diabetes,R2
Crossix US > Healthcare > Prescription Type > Hypertension,R2
Crossix US > Healthcare > Prescription Type > Rheumatoid Arthritis,R2
Crossix US > Healthcare > Prescription Type > Multiple Sclerosis,R2
Crossix US > Healthcare > Prescription Type > Smoking Cessation,R2
Crossix US > Healthcare > Prescription Type > Overactive Bladder,R2
Crossix US > Healthcare > Prescription Type > Insomnia,R2
Crossix US > Healthcare > Prescription Type > Depression,R2
Crossix US > Healthcare > Prescription Type > Psoriasis,R2
Crossix US > Healthcare > Prescription Type > Acid Reflux,R2
Crossix US > Healthcare > Prescription Type > Acne,R2
Crossix US > Healthcare > Prescription Type > Allergy,R2
Crossix US > Healthcare > Prescription Type > Anaphylaxis,R2
Crossix US > Healthcare > Prescription Type > Diabetes Test Strips,R2
Crossix US > Healthcare > Prescription Type > Dry Eye,R2
Crossix US > Healthcare > Prescription Type > Flu (Treatment),R2
Crossix US > Healthcare > Prescription Type > Flu (Vaccine),R2
Crossix US > Healthcare > Prescription Type > Migraines,R2
Crossix US > Healthcare > Prescription Type > Osteoporosis,R2
Crossix US > Healthcare > Prescription Type > Obesity,R2
Crossix US > Healthcare > Prescription Type > Osteoarthritis of the Knee,R2
Crossix US > Healthcare > Prescription Type > Menopause,R2
Crossix US > Healthcare > Prescription Type > Gout,R2
Crossix US > Healthcare > Prescription Type > Prostate Cancer,R2
Crossix US > Healthcare > Prescription Type > Constipation,R2
Crossix US > Healthcare > Prescription Type > DVT,R2
Crossix US > Healthcare > Conversion > Lapsed Epipen User,R2
Crossix US > Healthcare > Prescription Type > IBS,R2
Crossix US > Healthcare > Prescription Type > Artificial Tears,R2
Crossix US > Healthcare > Prescription Type > Angina,R2
Crossix US > Healthcare > Conversion > Celebrex,R2
Crossix US > Healthcare > Conversion > Chantix,R2
Crossix US > Healthcare > Conversion > Eliquis,R2
Crossix US > Healthcare > Conversion > Enbrel,R2
Crossix US > Healthcare > Conversion > Lyrica (Diabetes),R2
Crossix US > Healthcare > Conversion > Lyrica (Fibromyalgia),R2
Crossix US > Healthcare > Conversion > Pristiq,R2
Crossix US > Healthcare > Conversion > Xarelto,R2
Crossix US > Healthcare > Conversion > Abilify,R2
Crossix US > Healthcare > Conversion > Spiriva,R2
Crossix US > Healthcare > Conversion > Tamiflu,R2
Crossix US > Healthcare > Prescription Type > Hypothyroidism,R2
Crossix US > Healthcare > Conversion > Invokana,R2
Crossix US > Healthcare > Prescription Type > Skin Cancer,R2
Crossix US > Healthcare > Conversion > Lunesta,R2
Crossix US > Healthcare > Conversion > Myrbetriq,R2
Crossix US > Healthcare > Conversion > Nexium Rx,R2
Crossix US > Healthcare > Conversion > Pradaxa,R2
Crossix US > Healthcare > Conversion > Ambien,R2
Crossix US > Healthcare > Conversion > Belviq,R2
Crossix US > Healthcare > Conversion > Breo Ellipta,R2
Crossix US > Healthcare > Conversion > Crestor,R2
Crossix US > Healthcare > Conversion > Farxiga,R2
Crossix US > Healthcare > Conversion > Humira RA,R2
Crossix US > Healthcare > Conversion > Jardiance,R2
Crossix US > Healthcare > Conversion > Levemir FlexPen,R2
Crossix US > Healthcare > Conversion > Levemir FlexTouch,R2
Crossix US > Healthcare > Conversion > Multaq,R2
Crossix US > Healthcare > Conversion > Restasis,R2
Crossix US > Healthcare > Conversion > Symbicort,R2
Crossix US > Healthcare > Conversion > Victoza,R2
Crossix US > Healthcare > Conversion > Amitiza,R2
Crossix US > Healthcare > Conversion > Brintellix,R2
Crossix US > Healthcare > Conversion > Premarin,R2
Crossix US > Healthcare > Conversion > Dulera,R2
Crossix US > Healthcare > Conversion > Epipen,R2
Crossix US > Healthcare > Conversion > Januvia,R2
Crossix US > Healthcare > Conversion > Jublia,R2
Crossix US > Healthcare > Conversion > Levemir,R2
Crossix US > Healthcare > Conversion > NuvaRing,R2
Crossix US > Healthcare > Conversion > Pneumovax,R2
Crossix US > Healthcare > Conversion > Prolia,R2
Crossix US > Healthcare > Prescription Type > Glaucoma,R2
Crossix US > Healthcare > Conversion > Zostavax,R2
Crossix US > Healthcare > Prescription Type > Chronic Pain,R2
Crossix US > Healthcare > Prescription Type > DMARDs,R2
Crossix US > Healthcare > Prescription Type > Metastatic Melanoma,R2
Crossix US > Healthcare > Conversion > Belsomra,R2
Crossix US > Healthcare > Diagnosis > Lung Cancer,R2
Crossix US > Healthcare > Conversion > Flonase,R2
Crossix US > Healthcare > Diagnosis > Ankylosing Spondylitis - Packaged,R2
Crossix US > Healthcare > Diagnosis > Celiac Disease - Packaged,R2
Crossix US > Healthcare > Conversion > Daliresp - Packaged,R2
Crossix US > Healthcare > Therapy > Heavy Prescription Filler - Packaged,R2
Crossix US > Healthcare > Diagnosis > Hidradenitis Suppurativa - Packaged,R2
Crossix US > Healthcare > Diagnosis > Psoriatic Arthritis - Packaged,R2
Crossix US > Healthcare > Therapy > Proair HFA - Packaged,R2
Crossix US > Healthcare > Conversion > Epiduo - Packaged,R2
Crossix US > Healthcare > Conversion > Brisdelle - Packaged,R2
Crossix US > Healthcare > Conversion > Auvi-Q - Packaged,R2
Crossix US > Healthcare > Conversion > Xeljanz - Packaged,R2
Crossix US > Healthcare > Conversion > Praluent - Packaged,R2
Crossix US > Healthcare > Conversion > Skyla - Packaged,R2
Crossix US > Healthcare > Diagnosis > Ulcerative Colitis - Packaged,R2
Crossix US > Healthcare > Therapy > Rosacea - Packaged,R2
Crossix US > Healthcare > Therapy > Kerydin - Packaged,R2
Crossix US > Healthcare > Therapy > Contact Lens User - Packaged,R2
Crossix US > Healthcare > Conversion > Creon - Packaged,R2
Crossix US > Healthcare > Conversion > Glucagon - Packaged,R2
Crossix US > Healthcare > Conversion > Humalog - Packaged,R2
Crossix US > Healthcare > Conversion > Trulicity - Packaged,R2
Crossix US > Healthcare > Diagnosis > Exocrine Pancreatic Insufficency - Packaged,R2
Crossix US > Healthcare > Diagnosis > Kidney Cancer - Packaged,R2
Crossix US > Healthcare > Diagnosis > Multiple Myeloma - Packaged,R2
Crossix US > Healthcare > Therapy > Get a Colonoscopy - Packaged,R2
Crossix US > Healthcare > Diagnosis > Breast Cancer - Packaged,R2
Crossix US > Healthcare > Prescription Type > Birth Control - Packaged,R2
Crossix US > Healthcare > Diagnosis > Brain Cancer - Packaged,R2
Crossix US > Healthcare > Diagnosis > Sinusitis - Packaged,R2
Crossix US > Healthcare > Diagnosis > Tubal Ligation - Packaged,R2
Crossix US > Healthcare > Therapy > Mucinex - Packaged,R2
Crossix US > Healthcare > Conversion > Nasonex - Packaged,R2
Crossix US > Healthcare > Conversion > Movantik - Packaged,R2
Crossix US > Healthcare > Diagnosis > Urinary Tract Infection (UTI) - Packaged,R2
Crossix US > Healthcare > Conversion > Uloric - Packaged,R2
Crossix US > Healthcare > Conversion > Colcrys - Packaged,R2
Crossix US > Healthcare > Diagnosis > Narcolepsy - Packaged,R2
Crossix US > Healthcare > Diagnosis > Tinea - Packaged,R2
Crossix US > Healthcare > Diagnosis > Benign Prostatic Hyperplasia (BPH) - Packaged,R2
Crossix US > Healthcare > Payer Type > Private Insurance - Packaged,R2
Crossix US > Healthcare > Diagnosis > Hepatic Enephalopathy - Packaged,R2
Crossix US > Healthcare > Diagnosis > Fibromyalgia - Packaged,R2
Crossix US > Healthcare > Diagnosis > Eczema - Packaged,R2
Crossix US > Healthcare > Diagnosis > Pregnant - Packaged,R2
Crossix US > Healthcare > Diagnosis > Shingles - Packaged,R2
Crossix US > Healthcare > Conversion > Brovana - Packaged,R2
V12 > CORE > Occupation - Health Services,R2
V12 > CORE > Medical Doctor / Physician,R2
V12 > CPG > Beers & Ales,R2
V12 > CPG > Liquor,R2
V12 > CPG > Well Liquor & Spirits,R2
V12 > CPG > Luxury Liquor & Spirits,R2
V12 > B2B SEGMENTS > Sic2 Industry = Tobacco Products,R2
V12 > B2B SEGMENTS > Sic4-industry = Liquor Stores,R2
Stirista > Consumer > Interests > Gaming,R2
Cuebiq > Mobile Audience > Lifestyle > Clubbers,R2
