segment name,category,comments
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 1 Line,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 2 Lines,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 3 Lines,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 4 Lines,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 5 Line,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 6 Lines,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 7 Lines,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 8 Lines,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > Number of Credit Lines > 9 Lines,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > New Credit Received > $0 - $100,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > New Credit Received > $101 - $300,2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Financial > Credit > New Credit Received > $301 - $500,2,Restriction Applied by Acxiom - Financial/Political Data
"INACTIVE - ACXM Financial > Credit > New Credit Received > $501 - $1,000",2,Restriction Applied by Acxiom - Financial/Political Data
"INACTIVE - ACXM Financial > Credit > New Credit Received > $1,001 - $3,000",2,Restriction Applied by Acxiom - Financial/Political Data
"INACTIVE - ACXM Financial > Credit > New Credit Received > $3,001 - $5,000",2,Restriction Applied by Acxiom - Financial/Political Data
"INACTIVE - ACXM Financial > Credit > New Credit Received > $5,001 - $9,999",2,Restriction Applied by Acxiom - Financial/Political Data
"INACTIVE - ACXM Financial > Credit > New Credit Received > Greater than $9,999",2,Restriction Applied by Acxiom - Financial/Political Data
INACTIVE - ACXM Demographic > Net Worth > Under $1,2,Use Restriction Applied by Acxiom - Financial or Political Data
"INACTIVE - ACXM Demographic > Net Worth > $1,000,000 - $1,999,999",2,Use Restriction Applied by Acxiom - Financial or Political Data
"INACTIVE - ACXM Demographic > Net Worth > $2,000,000 +",2,Use Restriction Applied by Acxiom - Financial or Political Data
"INACTIVE - ACXM Demographic > Net Worth > $1 - $100,000",2,Use Restriction Applied by Acxiom - Financial or Political Data
"INACTIVE - ACXM Demographic > Net Worth > $100,000 - $1,000,000",2,Use Restriction Applied by Acxiom - Financial or Political Data
"INACTIVE - ACXM Demographic > Net Worth > Less than $100,000",2,Use Restriction Applied by Acxiom - Financial or Political Data
"INACTIVE - ACXM Demographic > Net Worth > $100,000 - $499,999",2,Use Restriction Applied by Acxiom - Financial or Political Data
"INACTIVE - ACXM Demographic > Net Worth > $500,000 - $999,999",2,Use Restriction Applied by Acxiom - Financial or Political Data
"INACTIVE - ACXM Demographic > Net Worth > $2,000,000 Plus",2,Use Restriction Applied by Acxiom - Financial or Political Data
Crossix US > Healthcare > Prescription Type > Asthma - Packaged,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > Atrial Fibrillation,3,Use restrictions applied by acxiom - Legacy Data
Crossix US > Healthcare > Prescription Type > COPD,3,Use restrictions applied by acxiom - Legacy Data
