Flag Word,Reference category,Possible Rating,Extra Comments
demographic,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Adghani,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Bengladesh,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Indian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Pakistani,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Sri Lankan,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Nepal,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Algerian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Arab,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Egyptian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Greek,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Iraqi,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Kurdish,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Jewish,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Libyan,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Macedonian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Moroccan,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Qatar,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Persian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Saudi,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Syran,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Tunisian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Turkish,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Yemeni,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Maltese,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Native American,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Angolan,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Ashanti,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Benin,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Bhutanese,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Burkina Faso,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Burundi,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Cameroon,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
African,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Chad,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Comoros,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Congo,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Equat Guinea,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Ethiopian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Gabon,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Gambia,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Ghana,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Guinea-Bissea,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Ivory Coast,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Kenya,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Lesotho,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Liberian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Madagascar,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Malawi,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Mali,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Namibian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Nigerian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Mozambique,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Papua New Guinea,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Ruandan,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Senegalese,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Siere Leone,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Somalia,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Danish,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Dutch,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Finnish,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Icelandic,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Norwegian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Scotch,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Swedish,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Welsh,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Myanmar,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Chinese,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Hawaiian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Indonesian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Japanese,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Khmer,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Korean,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Laotian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Malay,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Mongolian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Other Asian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Filipino,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Thai,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Tibetan,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Vietnamese,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Maldivian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
New Zealand,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Australian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Belgian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Basque,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
English,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
French,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
German,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Irish,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Italian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Portuguese,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Hispanic,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Luxembourgian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Swiss,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Manx,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Albanian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Armenian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Austrian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Azerb,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Bosnian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Bulgarian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Byelorussian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Chechnian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Croatian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Czech,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Estonian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Georgian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Hungarian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Kazakh,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Kirghiz,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Lativan,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Lithuanian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Moldavian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Polish,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Romanian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Russian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Serbian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Slovakian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Slovenian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Tajik,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Turkmenistan,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Ukrainian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
zbekistani,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Surinam,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Sudanese,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Swaziland,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Tanzanian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Togo,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Tonga,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Ugandan,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Xhosa,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Zaire,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Zambian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Zimbabwe,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Zulu,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Djibouti,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Guinean,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Mauritania,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Niger,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Western Somoa,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Botswanian,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
ethnic,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
national,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
indigenous,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
tribal,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
race,Demographic/Ethnicity,GA,"Should generally be GA by us but flags for Google and FB, so need to be careful"
Financial,Financial,R1,
fiscal,Financial,R1,
economic,Financial,R1,
commercial,Financial,R1,
monetary,Financial,R1,
Credit,Financial,R1,
attention,Financial,R1,
$,Financial,R1,
Net worth,Financial,R1,
Income,Financial,R1,
salary,Financial,R1,
wage,Financial,R1,
revenue,Financial,R1,
profit,Financial,R1,
pay,Financial,R1,
cash,Financial,R1,
